"BehaviorSpace results (NetLogo 6.0)"
"untrust_reputation_jt_NEWMODEL.nlogo"
"experiment10nodesNEWMODEL_coverage05"
"01/09/2018 12:42:18:688 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"rankP","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"_is-debug","false","false","false","false","false","false","false","false","false","false"
"_network_type","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world"""
"network_coverage_for_attack","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"_nodes","10","10","10","10","10","10","10","10","10","10"
"number_attacker","1","1","1","1","1","1","1","1","1","1"
"[reporter]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
"[final]","0.5454545454545454","0.7272727272727273","0.45454545454545453","0.7272727272727273","0.45454545454545453","0.45454545454545453","0.5454545454545454","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"[min]","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.45454545454545453","0.36363636363636365"
"[max]","1","1","1","1","1","1","1","1","1","1"
"[mean]","0.6142039778403418",,,,"0.6195622559258922","0.6216510761965311","0.6165652529288906","0.6151121605667064","0.6142039778403424","0.6162927981109791"
